ID,model,scale,AIC,AICw,rank
N15001_2015_win,forest,930,696.6973254,0.1845,1
N15001_2015_win,forest,870,697.0607953,0.1539,2
N15001_2015_win,forest,990,697.2495867,0.14,3
N15001_2015_win,forest,30,698.0634017,0.0932,4
N15001_2015_win,forest,1050,698.2637525,0.0843,5
N15001_2015_sum,forest,30,714.3255761,0.3722,1
N15001_2015_sum,forest,90,715.25744,0.2336,2
N15001_2015_sum,forest,1470,717.2677509,0.0855,3
N15001_2015_sum,forest,1530,717.5693995,0.0735,4
N15001_2015_sum,forest,1590,717.8059101,0.0653,5
N15002_2015_win,forest,1830,793.9497985,0.1604,1
N15002_2015_win,forest,1950,794.1314192,0.1465,2
N15002_2015_win,forest,1890,794.2079595,0.141,3
N15002_2015_win,forest,2010,794.2544568,0.1377,4
N15002_2015_win,forest,1770,794.4471395,0.1251,5
N15002_2015_sum,forest,90,512.9400927,0.8421,1
N15002_2015_sum,forest,150,517.7295015,0.0768,2
N15002_2015_sum,forest,210,518.3766523,0.0556,3
N15002_2015_sum,forest,270,521.7284886,0.0104,4
N15002_2015_sum,forest,30,522.6287037,0.0066,5
N15003_2015_win,forest,1050,779.3582667,0.2201,1
N15003_2015_win,forest,810,779.8204271,0.1747,2
N15003_2015_win,forest,870,779.9296401,0.1654,3
N15003_2015_win,forest,990,780.3908774,0.1313,4
N15003_2015_win,forest,930,780.4586298,0.127,5
N15003_2015_sum,forest,630,662.0463352,0.3719,1
N15003_2015_sum,forest,690,662.8935913,0.2435,2
N15003_2015_sum,forest,750,664.4281477,0.113,3
N15003_2015_sum,forest,810,665.0987964,0.0808,4
N15003_2015_sum,forest,570,665.1871113,0.0773,5
N15003_2016_win,forest,90,375.485279,0.7338,1
N15003_2016_win,forest,150,378.432838,0.1681,2
N15003_2016_win,forest,210,380.4303258,0.0619,3
N15003_2016_win,forest,270,383.6963412,0.0121,4
N15003_2016_win,forest,30,384.0252569,0.0103,5
N15003_2016_sum,forest,330,484.6053178,0.3749,1
N15003_2016_sum,forest,270,486.2657277,0.1634,2
N15003_2016_sum,forest,390,486.53485,0.1428,3
N15003_2016_sum,forest,210,487.0987404,0.1078,4
N15003_2016_sum,forest,150,487.4199936,0.0918,5
N15004_2015_win,forest,30,724.1798499,0.9741,1
N15004_2015_win,forest,90,731.6253712,0.0235,2
N15004_2015_win,forest,150,736.5597223,0.002,3
N15004_2015_win,forest,210,741.4799978,2.00E-04,4
N15004_2015_win,forest,1770,744.9238793,0,5
N15004_2015_sum,forest,3870,476.4924556,0.365,1
N15004_2015_sum,forest,3810,478.0394873,0.1684,2
N15004_2015_sum,forest,2610,478.6047156,0.127,3
N15004_2015_sum,forest,2670,478.9266794,0.1081,4
N15004_2015_sum,forest,3750,479.6674365,0.0746,5
N15005_2015_win,forest,1770,416.7863177,0.4692,1
N15005_2015_win,forest,1830,417.8426233,0.2767,2
N15005_2015_win,forest,1710,419.1141785,0.1465,3
N15005_2015_win,forest,1890,420.6787716,0.067,4
N15005_2015_win,forest,1650,423.6234727,0.0154,5
N15006_2015_sum,forest,90,386.4780023,0.5784,1
N15006_2015_sum,forest,150,387.6734295,0.3182,2
N15006_2015_sum,forest,210,391.5761462,0.0452,3
N15006_2015_sum,forest,30,393.0531979,0.0216,4
N15006_2015_sum,forest,270,393.7122317,0.0155,5
N15008_2015_win,forest,90,458.5220525,0.6466,1
N15008_2015_win,forest,30,460.4394704,0.2479,2
N15008_2015_win,forest,810,465.7411257,0.0175,3
N15008_2015_win,forest,870,465.8005654,0.017,4
N15008_2015_win,forest,930,466.1620582,0.0142,5
N15008_2015_sum,forest,270,489.5752709,0.1808,1
N15008_2015_sum,forest,330,489.7079103,0.1692,2
N15008_2015_sum,forest,390,490.1910507,0.1329,3
N15008_2015_sum,forest,450,490.2920908,0.1263,4
N15008_2015_sum,forest,510,490.4481209,0.1168,5
N15008_2016_win,forest,90,597.8920942,0.4706,1
N15008_2016_win,forest,30,598.0278322,0.4397,2
